Datasett hentet fra;https://hnygard.github.io/norsk-lovtidend/;@hallny / Norske-postlister.no;Kilde;https://lovdata.no/register/lovtidend;Data hentet;11.02.2020 20:54:07

kunngjort;dato;korttittel;url;title;departement;ikrafttredelse;endrer;journalnr;gjelder for;hjemmel;rettet;
22.01.2020   kl. 14.35;FOR-2019-11-19-2206;Forskrift om spesialistgodkjenning for sykepleiere;https://lovdata.no/dokument/LTI/forskrift/2019-11-19-2206;Forskrift om spesialistgodkjenning for sykepleiere;Helse- og omsorgsdepartementet;01.02.2020;;2020-0068;Norge;LOV-1999-07-02-64-§51;;
21.01.2020   kl. 14.50;FOR-2020-01-20-57;Endr. i bilforskriften;https://lovdata.no/dokument/LTI/forskrift/2020-01-20-57;Forskrift om endring i forskrift om godkjenning av bil og tilhenger til bil;Samferdselsdepartementet;20.01.2020;FOR-2012-07-05-817;2020-0079;Norge;LOV-1965-06-18-4-§13, LOV-1965-06-18-4-§14, LOV-1965-06-18-4-§15, LOV-1965-06-18-4-§16, FOR-1980-11-24-1;;
21.01.2020   kl. 14.50;FOR-2020-01-17-56;Endr. i forskrift om bruk av kjøretøy;https://lovdata.no/dokument/LTI/forskrift/2020-01-17-56;Forskrift om endring i forskrift om bruk av kjøretøy;Samferdselsdepartementet;17.01.2020;FOR-1990-01-25-92;2020-0078;Norge;LOV-1965-06-18-4-§13, LOV-1965-06-18-4-§15, LOV-1965-06-18-4-§16, LOV-1965-06-18-4-§36, FOR-1980-11-24-1, FOR-1993-04-01-286, FOR-2002-04-30-557;;
21.01.2020   kl. 14.50;FOR-2020-01-17-55;Forskrift om rekefisket i NAFO-området, 2020;https://lovdata.no/dokument/LTI/forskrift/2020-01-17-55;Forskrift om regulering av fisket etter reker i NAFO-området i 2020;Nærings- og fiskeridepartementet;17.01.2020 – 31.12.2020;;2020-0076;Norge;LOV-2008-06-06-37-§11, LOV-2008-06-06-37-§12, LOV-2008-06-06-37-§16, LOV-2008-06-06-37-§36, LOV-2008-06-06-37-§47, LOV-1999-03-26-15-§20, LOV-1999-03-26-15-§21, FOR-2000-02-11-99, FOR-2001-10-16-4686;;
21.01.2020   kl. 14.50;FOR-2020-01-16-54;Forskrift om opptak, studier, eksamen og klagebehandling for Ålesund Kunstfagskole;https://lovdata.no/dokument/LTI/forskrift/2020-01-16-54;Forskrift om opptak, studier, eksamen og klagebehandling for Ålesund Kunstfagskole;Kunnskapsdepartementet;01.01.2020;FOR-2019-12-11-1833;2020-0075;Norge;LOV-2018-06-08-28-§8, LOV-2018-06-08-28-§9, LOV-2018-06-08-28-§12, LOV-2018-06-08-28-§15, LOV-2018-06-08-28-§16, LOV-2018-06-08-28-§19, LOV-2018-06-08-28-§20, LOV-2018-06-08-28-§21, LOV-2018-06-08-28-§22, LOV-2018-06-08-28-§23, LOV-2018-06-08-28-§24, LOV-2018-06-08-28-§25, LOV-2018-06-08-28-§43, FOR-2019-07-11-1005-§2, FOR-2019-07-11-1005-§8, FOR-2019-07-11-1005-§9, FOR-2019-07-11-1005-§14, FOR-2019-07-11-1005-§15, FOR-2019-07-11-1005-§16, FOR-2019-07-11-1005-§17, FOR-2019-07-11-1005-§18, FOR-2019-07-11-1005-§38, FOR-2019-07-11-1005-§43, LOV-1967-02-10-§1;;
21.01.2020   kl. 14.50;FOR-2020-01-16-53;Forskrift om gjennomføring av opplysningsplikt etter § 5-3 i sentralbankloven;https://lovdata.no/dokument/LTI/forskrift/2020-01-16-53;Forskrift om gjennomføring av opplysningsplikt etter § 5-3 i sentralbankloven;Finansdepartementet;16.01.2020;FOR-2005-11-30-1351;2020-0072;Norge;LOV-2019-06-21-31-§5-3;22.01.2020 (ortografisk feil i hjemmelsfeltet);
21.01.2020   kl. 14.50;FOR-2020-01-15-52;Forskrift om fagskoleutdanning ved Medlearn AS;https://lovdata.no/dokument/LTI/forskrift/2020-01-15-52;Forskrift om fagskoleutdanning ved Medlearn AS;Kunnskapsdepartementet;15.01.2020;FOR-2019-05-14-634;2020-0070;Norge;LOV-2018-06-08-28-§16, LOV-2018-06-08-28-§21;;
21.01.2020   kl. 14.50;FOR-2020-01-08-51;Forskrift om tiltak mot pærebrann (Erwinia amylovora);https://lovdata.no/dokument/LTI/forskrift/2020-01-08-51;Forskrift om kontrollområder for å forebygge, begrense og bekjempe pærebrann (Erwinia amylovora);Landbruks- og matdepartementet;08.01.2020;FOR-2007-04-25-435;2020-0074;Norge;LOV-2003-12-19-124-§18, FOR-2003-12-19-1790, FOR-2000-12-01-1333-§6;;
21.01.2020   kl. 14.50;FOR-2019-12-18-2205;Endr. i blåreseptforskriften;https://lovdata.no/dokument/LTI/forskrift/2019-12-18-2205;Forskrift om endring i forskrift om stønad til dekning av utgifter til viktige legemidler mv. (blåreseptforskriften);Helse- og omsorgsdepartementet;01.02.2020;FOR-2007-06-28-814;2020-0077;Norge;FOR-2007-06-28-814-§1b, LOV-1997-02-28-19-§5-14, LOV-1994-08-05-55-§6-2;;
20.01.2020   kl. 15.25;FOR-2020-01-16-49;Forskrift om fiske etter røye på Svalbard i 2020;https://lovdata.no/dokument/LTI/forskrift/2020-01-16-49;Forskrift om fiske etter røye på Svalbard i 2020;Klima- og miljødepartementet;01.01.2020 – 31.12.2020;FOR-2018-10-03-1539;2020-0069;Norge;FOR-2002-06-24-712-§7, LOV-2001-06-15-79-§31, LOV-2001-06-15-79-§32;;
20.01.2020   kl. 15.25;FOR-2019-12-17-2200;Forskrift om regulering av fisket etter rognkjeks (Cyclopterus lumpus) i 2020;https://lovdata.no/dokument/LTI/forskrift/2019-12-17-2200;Forskrift om regulering av fisket etter rognkjeks (Cyclopterus lumpus) i 2020;Nærings- og fiskeridepartementet;01.01.2020 – 31.12.2020;;2020-0066;Norge;LOV-2008-06-06-37-§11, LOV-2008-06-06-37-§12, LOV-2008-06-06-37-§16, LOV-2008-06-06-37-§42, FOR-2001-10-16-4686;;
20.01.2020   kl. 15.25;FOR-2016-12-01-1974;Endr. i forskrift om opptak til Universitetet i Bergen;https://lovdata.no/dokument/LTI/forskrift/2016-12-01-1974;Forskrift om endring i forskrift om opptak, studier, vurdering og grader ved Universitetet i Bergen;Kunnskapsdepartementet;01.01.2017, 01.08.2017;FOR-2012-02-16-872;2020-0073;Norge;LOV-2005-04-01-15-§3-3, LOV-2005-04-01-15-§3-9;;
20.01.2020   kl. 15.25;FOR-2016-10-20-1973;Endr. i forskrift om opptak mv. ved UiB;https://lovdata.no/dokument/LTI/forskrift/2016-10-20-1973;Forskrift om endring i forskrift om opptak, studier, vurdering og grader ved Universitetet i Bergen;Kunnskapsdepartementet;01.01.2017, 01.08.2017;FOR-2012-02-16-872;2020-0071;Norge;LOV-2005-04-01-15-§3-9, FOR-2005-12-15-1506-§3-3;;
17.01.2020   kl. 13.50;FOR-2020-01-13-48;Endr. i forskrift om reisetilskudd ved veterinærers besøk;https://lovdata.no/dokument/LTI/forskrift/2020-01-13-48;Forskrift om endring i forskrift om reisetilskudd ved veterinærers syke- og inseminasjonsbesøk;Landbruks- og matdepartementet;13.01.2020;FOR-2015-04-30-426;2020-0065;Norge;LOV-1995-05-12-23-§18, FOR-1995-05-12-413;;
17.01.2020   kl. 13.50;FOR-2019-12-27-2191;Endr. i forskrift om forbud mot fiske etter torsk og hyse i fiskerisonen ved Jan Mayen;https://lovdata.no/dokument/LTI/forskrift/2019-12-27-2191;Forskrift om endring i forskrift om forbud mot fiske etter torsk og hyse i fiskerisonen ved Jan Mayen;Nærings- og fiskeridepartementet;01.01.2020;FOR-2018-12-20-2217;2020-0064;Norge;LOV-2008-06-06-37-§16, LOV-2008-06-06-37-§59;;
17.01.2020   kl. 13.50;FOR-2019-11-27-2190;Endr. i forskrift om opptak til studier og emner ved UiA;https://lovdata.no/dokument/LTI/forskrift/2019-11-27-2190;Forskrift om endring i forskrift om opptak til studier og emner ved Universitetet i Agder;Kunnskapsdepartementet;For opptak til studier og emner med oppstart fra og med høsten 2020;FOR-2013-11-27-1387;2020-0055;Norge;LOV-2005-04-01-15-§3-6, LOV-2005-04-01-15-§3-7, FOR-2017-01-06-13;;
16.01.2020   kl. 14.50;FOR-2020-01-15-47;Endr. i CRR/CRD IV-forskriften;https://lovdata.no/dokument/LTI/forskrift/2020-01-15-47;Forskrift om endring i CRR/CRD IV-forskriften;Finansdepartementet;15.01.2020, 31.12.2020;FOR-2014-08-22-1097;2020-0067;Norge;LOV-2015-04-10-17-§14-2;;
16.01.2020   kl. 14.50;FOR-2020-01-14-46;Endr. i forskrift om fangst av kongekrabbe øst for 26° Ø mv. i 2020;https://lovdata.no/dokument/LTI/forskrift/2020-01-14-46;Forskrift om endring i forskrift om regulering av fangst av kongekrabbe i kvoteregulert område øst for 26° Ø mv. i 2020;Nærings- og fiskeridepartementet;14.01.2020;FOR-2019-12-17-1894;2020-0062;Norge;FOR-2019-12-17-1894-§18, LOV-2008-06-06-37-§11, LOV-2008-06-06-37-§12, LOV-2008-06-06-37-§13, LOV-2008-06-06-37-§16, LOV-2008-06-06-37-§34, LOV-2008-06-06-37-§36, LOV-2008-06-06-37-§37, LOV-2008-06-06-37-§38, LOV-2008-06-06-37-§41, LOV-2008-06-06-37-§43, LOV-2008-06-06-37-§59, LOV-1999-03-26-15-§20, LOV-1999-03-26-15-§21, FOR-2000-02-11-99, LOV-2003-12-19-124-§7, LOV-2003-12-19-124-§16, FOR-2003-12-19-1790, LOV-2009-06-19-97-§23, LOV-2009-06-19-97-§30, FOR-2010-06-11-814;;
16.01.2020   kl. 14.50;FOR-2019-12-09-2189;Forskrift om opptak, studier mv. for Kunstskolen i Stavanger;https://lovdata.no/dokument/LTI/forskrift/2019-12-09-2189;Forskrift om opptak, studier, eksamen og klagebehandling for Kunstskolen i Stavanger;Kunnskapsdepartementet;01.01.2020;FOR-2017-05-29-1041;2020-0035;Norge;LOV-2018-06-08-28-§8, LOV-2018-06-08-28-§9, LOV-2018-06-08-28-§10, LOV-2018-06-08-28-§12, LOV-2018-06-08-28-§14, LOV-2018-06-08-28-§15, LOV-2018-06-08-28-§16, LOV-2018-06-08-28-§19, LOV-2018-06-08-28-§20, LOV-2018-06-08-28-§21, LOV-2018-06-08-28-§22, LOV-2018-06-08-28-§23, LOV-2018-06-08-28-§24, LOV-2018-06-08-28-§25, LOV-2018-06-08-28-§26, LOV-2018-06-08-28-§27, FOR-2019-07-11-1005-§2, FOR-2019-07-11-1005-§8, FOR-2019-07-11-1005-§9, FOR-2019-07-11-1005-§10, FOR-2019-07-11-1005-§11, FOR-2019-07-11-1005-§14, FOR-2019-07-11-1005-§17, FOR-2019-07-11-1005-§18, FOR-2019-07-11-1005-§37, FOR-2019-07-11-1005-§40, FOR-2019-07-11-1005-§43;;
16.01.2020   kl. 13.25;FOR-2020-01-03-45;Forskrift om nasjonal retningslinje for masterutdanning i avansert klinisk allmennsykepleie;https://lovdata.no/dokument/LTI/forskrift/2020-01-03-45;Forskrift om nasjonal retningslinje for masterutdanning i avansert klinisk allmennsykepleie;Kunnskapsdepartementet;01.02.2020;;2020-0061;Norge;LOV-2005-04-01-15-§3-2;;
15.01.2020   kl. 15.40;FOR-2020-01-13-44;Endr. i forskrift om sektoravgift og gebyr til Nasjonal kommunikasjonsmyndighet;https://lovdata.no/dokument/LTI/forskrift/2020-01-13-44;Forskrift om endring i forskrift om sektoravgift og gebyr til Nasjonal kommunikasjonsmyndighet;Kommunal- og moderniseringsdepartementet;13.01.2020;FOR-2017-03-20-386;2020-0054;Norge;LOV-2003-07-04-83-§12-1, FOR-2019-06-21-788, LOV-2015-09-04-91-§53, FOR-2020-01-10-33, LOV-2018-06-15-44-§7, FOR-2001-06-15-611-§9, FOR-2019-11-21-1578-§15;;
15.01.2020   kl. 15.40;FOR-2020-01-13-43;Endr. i forskrift om tilskudd til tiltak mot marin forsøpling;https://lovdata.no/dokument/LTI/forskrift/2020-01-13-43;Forskrift om endring i forskrift om tilskudd til tiltak mot marin forsøpling;Klima- og miljødepartementet;13.01.2020;FOR-2018-12-05-1812;2020-0053;Norge;Stortingets budsjettvedtak;;
15.01.2020   kl. 15.40;FOR-2020-01-13-42;Endr. i avfallsforskriften;https://lovdata.no/dokument/LTI/forskrift/2020-01-13-42;Forskrift om endring i avfallsforskriften;Klima- og miljødepartementet;13.01.2020;FOR-2004-06-01-930;2020-0052;Norge;LOV-1981-03-13-6-§52a;;
15.01.2020   kl. 15.40;FOR-2020-01-10-41;Endr. i Merkur-forskrifta;https://lovdata.no/dokument/LTI/forskrift/2020-01-10-41;Forskrift om endring i forskrift om tilskot frå Merkur-programmet (Merkur-forskrifta);Kommunal- og moderniseringsdepartementet;10.01.2020;FOR-2018-05-23-748;2020-0049;Norge;Stortingets budsjettvedtak;;
15.01.2020   kl. 15.40;FOR-2019-12-15-2188;Forskrift om opptak, studier og eksamen for Det Tverrfaglige Kunstinstitutt;https://lovdata.no/dokument/LTI/forskrift/2019-12-15-2188;Forskrift om opptak, studier og eksamen for Det Tverrfaglige Kunstinstitutt (DTK);Kunnskapsdepartementet;15.12.2019;FOR-2017-06-20-994;2020-0031;Norge;LOV-2018-06-08-28-§8, LOV-2018-06-08-28-§9, LOV-2018-06-08-28-§12, LOV-2018-06-08-28-§15, LOV-2018-06-08-28-§16, LOV-2018-06-08-28-§19, LOV-2018-06-08-28-§20, LOV-2018-06-08-28-§21, LOV-2018-06-08-28-§22, LOV-2018-06-08-28-§23, LOV-2018-06-08-28-§24, LOV-2018-06-08-28-§25, LOV-2018-06-08-28-§43, FOR-2019-07-11-1005-§2, FOR-2019-07-11-1005-§8, FOR-2019-07-11-1005-§9, FOR-2019-07-11-1005-§14, FOR-2019-07-11-1005-§15, FOR-2019-07-11-1005-§16, FOR-2019-07-11-1005-§17, FOR-2019-07-11-1005-§18, FOR-2019-07-11-1005-§38, FOR-2019-07-11-1005-§43, LOV-1967-02-10-§1;;
15.01.2020   kl. 15.40;FOR-2019-12-09-2187;Forskrift for Fagskulen Sogn og Fjordane;https://lovdata.no/dokument/LTI/forskrift/2019-12-09-2187;Forskrift om høgare yrkesfagleg utdanning ved Fagskulen i Sogn og Fjordane;Kunnskapsdepartementet;01.01.2020;FOR-2017-09-07-1449;2019-1414;Norge;LOV-2018-06-08-28-§3, LOV-2018-06-08-28-§9, LOV-2018-06-08-28-§16, LOV-2018-06-08-28-§20, LOV-2018-06-08-28-§21, LOV-2018-06-08-28-§22, LOV-2018-06-08-28-§23, LOV-2018-06-08-28-§24, LOV-2018-06-08-28-§25, LOV-2018-06-08-28-§26, LOV-2018-06-08-28-§27, LOV-2018-06-08-28-§39, FOR-2019-07-11-1005-§3, FOR-2019-07-11-1005-§4, FOR-2019-07-11-1005-§7, FOR-2019-07-11-1005-§9, FOR-2019-07-11-1005-§10, FOR-2019-07-11-1005-§11, FOR-2019-07-11-1005-§13, FOR-2019-07-11-1005-§14, FOR-2019-07-11-1005-§15, FOR-2019-07-11-1005-§16, FOR-2019-07-11-1005-§17, FOR-2019-07-11-1005-§19, FOR-2019-07-11-1005-§20, FOR-2019-07-11-1005-§21, FOR-2019-07-11-1005-§23, FOR-2019-07-11-1005-§24, FOR-2019-07-11-1005-§25, FOR-2019-07-11-1005-§26, FOR-2019-07-11-1005-§27, FOR-2019-07-11-1005-§28, FOR-2019-07-11-1005-§29, FOR-2019-07-11-1005-§30, FOR-2019-07-11-1005-§36, FOR-2019-07-11-1005-§37, FOR-2019-07-11-1005-§38, FOR-2019-07-11-1005-§39, FOR-2019-07-11-1005-§40, FOR-2019-07-11-1005-§41, FOR-2019-07-11-1005-§43;;
14.01.2020   kl. 14.10;FOR-2020-01-13-40;Forskrift om prosjekttilskudd til nasjonale minoriteter;https://lovdata.no/dokument/LTI/forskrift/2020-01-13-40;Forskrift om prosjekttilskudd til nasjonale minoriteter;Kommunal- og moderniseringsdepartementet;13.01.2020;;2020-0051;Norge;Stortingets årlige budsjettvedtak over kap. 567 post 70;;
14.01.2020   kl. 14.10;FOR-2020-01-10-39;Endr. i aktivitetsforskriften;https://lovdata.no/dokument/LTI/forskrift/2020-01-10-39;Forskrift om endring i forskrift om utføring av aktiviteter i petroleumsvirksomheten (aktivitetsforskriften);Klima- og miljødepartementet;10.01.2020;FOR-2010-04-29-613;2020-0048;Norge;LOV-1981-03-13-6-§9, FOR-2010-02-12-158-§68;;
14.01.2020   kl. 14.10;FOR-2020-01-10-38;Endr. i inndeling i lensmanns- og politistasjonsdistrikt i Møre og Romsdal politidistrikt;https://lovdata.no/dokument/LTI/forskrift/2020-01-10-38;Endringer i inndeling i lensmanns- og politistasjonsdistrikt i Møre og Romsdal politidistrikt;Justis- og beredskapsdepartementet;10.01.2020;FOR-2017-05-24-2480;2020-0047;Norge;LOV-1995-08-04-53-§16, LOV-1995-08-04-53-§17, FOR-2016-02-05-102, FOR-2016-02-18-1905, FOR-2017-09-01-1350, FOR-2017-09-14-2483;;
14.01.2020   kl. 14.10;FOR-2020-01-10-37;Endr. i inndeling i lensmanns- og politistasjonsdistrikt i Agder politidistrikt;https://lovdata.no/dokument/LTI/forskrift/2020-01-10-37;Endringer i inndeling i lensmanns- og politistasjonsdistrikt i Agder politidistrikt;Justis- og beredskapsdepartementet;10.01.2020;FOR-2017-05-24-2480;2020-0046;Norge;LOV-1995-08-04-53-§16, LOV-1995-08-04-53-§17, FOR-2016-02-05-102, FOR-2016-02-18-1905, FOR-2017-09-01-1350, FOR-2017-09-14-2483;;
14.01.2020   kl. 14.10;FOR-2020-01-10-36;Endr. i inndeling i lensmanns- og politistasjonsdistrikt i Øst politidistrikt;https://lovdata.no/dokument/LTI/forskrift/2020-01-10-36;Endringer i inndeling i lensmanns- og politistasjonsdistrikt i Øst politidistrikt;Justis- og beredskapsdepartementet;10.01.2020;FOR-2017-05-24-2480;2020-0045;Norge;LOV-1995-08-04-53-§16, LOV-1995-08-04-53-§17, FOR-2016-02-05-102, FOR-2016-02-18-1905, FOR-2017-09-01-1350, FOR-2017-09-14-2483;;
13.01.2020   kl. 15.10;FOR-2020-01-10-34;Fullmakt i henhold til bevilgningsreglementet;https://lovdata.no/dokument/LTI/forskrift/2020-01-10-34;Fullmakt i henhold til bevilgningsreglementet;Finansdepartementet;01.01.2020, for budsjetterminene 2020–2022;FOR-2005-12-02-1359;2020-0050;Norge;FOR-2005-05-26-876-§11, LOV-1814-05-17-§75;;
13.01.2020   kl. 15.10;FOR-2020-01-10-33;Deleg. av myndighet etter postloven;https://lovdata.no/dokument/LTI/forskrift/2020-01-10-33;Delegering av myndighet etter postloven;Samferdselsdepartementet;10.01.2020;FOR-2019-06-21-797, FOR-2015-09-04-1028;2020-0042;Norge;LOV-2015-09-04-91-§2, LOV-2015-09-04-91-§3, LOV-2015-09-04-91-§5, LOV-2015-09-04-91-§41;;
13.01.2020   kl. 15.10;FOR-2020-01-09-32;Forskrift om midlertidig unntak fra påbudet om sorteringsrist i fisket etter reker;https://lovdata.no/dokument/LTI/forskrift/2020-01-09-32;Forskrift om midlertidig unntak fra påbudet om sorteringsrist i fisket etter reker;Nærings- og fiskeridepartementet;09.01.2020 – 23.01.2020;;2020-0044;Norge;FOR-2012-11-26-1104-§2, LOV-2008-06-06-37-§16;;
13.01.2020   kl. 15.10;FOR-2020-01-09-31;Forskrift om EØS-krav til radioutstyr;https://lovdata.no/dokument/LTI/forskrift/2020-01-09-31;Forskrift om endring i forskrift om EØS-krav til radioutstyr;Kommunal- og moderniseringsdepartementet;17.03.2022;FOR-2016-04-15-377;2020-0041;Norge;LOV-2003-07-04-83-§1-4, LOV-2003-07-04-83-§2-3, LOV-2003-07-04-83-§8-1, LOV-2003-07-04-83-§8-2, LOV-2003-07-04-83-§10-1, FOR-2019-06-21-788;;
13.01.2020   kl. 15.10;FOR-2020-01-09-30;Endr. i forskrift om ikke-næringsmessig transport av dyr;https://lovdata.no/dokument/LTI/forskrift/2020-01-09-30;Forskrift om endring i forskrift om ikke-næringsmessig transport av dyr og transport av sirkusdyr;Landbruks- og matdepartementet;09.01.2020;FOR-2012-02-08-129;2020-0040;Norge;LOV-2009-06-19-97-§6, LOV-2009-06-19-97-§7, LOV-2009-06-19-97-§11, LOV-2009-06-19-97-§30, LOV-2009-06-19-97-§34;;
13.01.2020   kl. 15.10;FOR-2020-01-09-29;Endr. i forskrift om næringsmessig transport av dyr;https://lovdata.no/dokument/LTI/forskrift/2020-01-09-29;Forskrift om endring i forskrift om næringsmessig transport av dyr;Nærings- og fiskeridepartementet, Landbruks- og matdepartementet;09.01.2020;FOR-2012-02-08-139;2020-0039;Norge;LOV-2009-06-19-97-§6, LOV-2009-06-19-97-§7, LOV-2009-06-19-97-§11, LOV-2009-06-19-97-§30, FOR-2010-06-11-814;;
13.01.2020   kl. 15.10;FOR-2020-01-09-28;Endr. i forskrift til petroleumsloven;https://lovdata.no/dokument/LTI/forskrift/2020-01-09-28;Forskrift om endring i forskrift til lov om petroleumsvirksomhet;Olje- og energidepartementet;01.02.2020;FOR-1997-06-27-653;2020-0034;Norge;LOV-1996-11-29-72-§10-18, FOR-2009-05-15-512;;
13.01.2020   kl. 15.10;FOR-2020-01-09-27;Endr. i forskrift om fastsettelse av tariffer mv.;https://lovdata.no/dokument/LTI/forskrift/2020-01-09-27;Forskrift om endring i forskrift om fastsettelse av tariffer mv. for bestemte innretninger;Olje- og energidepartementet;01.02.2020;FOR-2002-12-20-1724;2020-0033;Norge;LOV-1996-11-29-72-§10-18, LOV-1996-11-29-72-§4-8, FOR-1997-06-27-653-§70;;
13.01.2020   kl. 15.10;FOR-2020-01-08-26;Endr. i forskrift om gebyr ved Norges utenriksstasjoner;https://lovdata.no/dokument/LTI/forskrift/2020-01-08-26;Forskrift om endring i forskrift om gebyr ved Norges utenriksstasjoner;Utenriksdepartementet;08.01.2020;FOR-2014-06-20-780;2020-0043;Norge;LOV-2015-02-13-9-§15;;
13.01.2020   kl. 15.10;FOR-2019-12-19-2180;Forskrift om opptak, studier og eksamen ved Folkeuniversitetets Fagskole AS;https://lovdata.no/dokument/LTI/forskrift/2019-12-19-2180;Forskrift om opptak, studier og eksamen ved Folkeuniversitetets Fagskole AS;Kunnskapsdepartementet;01.01.2020;FOR-2017-09-18-1623, FOR-2017-10-11-1659;2020-0005;Norge;LOV-2018-06-08-28-§16, LOV-2018-06-08-28-§20, LOV-2018-06-08-28-§21;;
13.01.2020   kl. 10.00;FOR-2020-01-03-25;Forskrift om nasjonal retningslinje for farmasøytutdanningene;https://lovdata.no/dokument/LTI/forskrift/2020-01-03-25;Forskrift om nasjonal retningslinje for farmasøytutdanningene, bachelor- og masterutdanning i farmasi;Kunnskapsdepartementet;01.02.2020;;2020-0021;Norge;LOV-2005-04-01-15-§3-2;;
13.01.2020   kl. 10.00;FOR-2020-01-03-24;Forskrift om nasjonal retningslinje for klinisk ernæringsfysiologutdanning;https://lovdata.no/dokument/LTI/forskrift/2020-01-03-24;Forskrift om nasjonal retningslinje for klinisk ernæringsfysiologutdanning;Kunnskapsdepartementet;01.02.2020;;2020-0020;Norge;LOV-2005-04-01-15-§3-2;;
13.01.2020   kl. 10.00;FOR-2020-01-03-23;Forskrift om nasjonal retningslinje for audiografutdanning;https://lovdata.no/dokument/LTI/forskrift/2020-01-03-23;Forskrift om nasjonal retningslinje for audiografutdanning;Kunnskapsdepartementet;01.02.2020;;2020-0019;Norge;LOV-2005-04-01-15-§3-2;;
13.01.2020   kl. 10.00;FOR-2020-01-03-22;Forskrift om nasjonal retningslinje for ortopediingeniørutdanning;https://lovdata.no/dokument/LTI/forskrift/2020-01-03-22;Forskrift om nasjonal retningslinje for ortopediingeniørutdanning;Kunnskapsdepartementet;01.02.2020;;2020-0018;Norge;LOV-2005-04-01-15-§3-2;;
13.01.2020   kl. 10.00;FOR-2020-01-03-21;Forskrift om nasjonal retningslinje for medisinutdanning;https://lovdata.no/dokument/LTI/forskrift/2020-01-03-21;Forskrift om nasjonal retningslinje for medisinutdanning;Kunnskapsdepartementet;01.02.2020;;2020-0017;Norge;LOV-2005-04-01-15-§3-2;;
13.01.2020   kl. 10.00;FOR-2020-01-03-20;Forskrift om nasjonal retningslinje for optikerutdanning;https://lovdata.no/dokument/LTI/forskrift/2020-01-03-20;Forskrift om nasjonal retningslinje for optikerutdanning;Kunnskapsdepartementet;01.02.2020;;2020-0016;Norge;LOV-2005-04-01-15-§3-2;;
13.01.2020   kl. 10.00;FOR-2020-01-03-19;Forskrift om nasjonal retningslinje for tannteknikerutdanning;https://lovdata.no/dokument/LTI/forskrift/2020-01-03-19;Forskrift om nasjonal retningslinje for tannteknikerutdanning;Kunnskapsdepartementet;01.02.2020;;2020-0015;Norge;LOV-2005-04-01-15-§3-2;;
13.01.2020   kl. 10.00;FOR-2020-01-03-18;Forskrift om nasjonal retningslinje for tannpleierutdanning;https://lovdata.no/dokument/LTI/forskrift/2020-01-03-18;Forskrift om nasjonal retningslinje for tannpleierutdanning;Kunnskapsdepartementet;01.02.2020;;2020-0014;Norge;LOV-2005-04-01-15-§3-2;;
13.01.2020   kl. 10.00;FOR-2020-01-03-17;Forskrift om nasjonal retningslinje for tannlegeutdanning;https://lovdata.no/dokument/LTI/forskrift/2020-01-03-17;Forskrift om nasjonal retningslinje for tannlegeutdanning;Kunnskapsdepartementet;01.02.2020;;2020-0013;Norge;LOV-2005-04-01-15-§3-2;;
13.01.2020   kl. 10.00;FOR-2020-01-03-16;Forskrift om nasjonal retningslinje for psykologutdanning;https://lovdata.no/dokument/LTI/forskrift/2020-01-03-16;Forskrift om nasjonal retningslinje for psykologutdanning;Kunnskapsdepartementet;01.02.2020;;2020-0012;Norge;LOV-2005-04-01-15-§3-2;;
10.01.2020   kl. 14.30;FOR-2020-01-10-15;Opph. av ikraftsetting av endring i verdipapirhandelloven § 3-1 første ledd;https://lovdata.no/dokument/LTI/forskrift/2020-01-10-15;Oppheving av ikraftsetting av endring i verdipapirhandelloven § 3-1 første ledd;Finansdepartementet;10.01.2020;FOR-2019-12-20-1913, LOV-2007-06-29-75;2020-0038;Norge;LOV-2019-12-06-76;;
10.01.2020   kl. 14.30;FOR-2020-01-10-14;Ikrafts. av lov 2019:8 om en overgangsperiode ved Storbritannias uttreden av EU;https://lovdata.no/dokument/LTI/forskrift/2020-01-10-14;Ikraftsetting av lov 29. mars 2019 nr. 8 om en overgangsperiode ved Storbritannias uttreden av EU;Utenriksdepartementet;01.02.2020;;2020-0037;Norge;LOV-2019-03-29-8-§3;;
10.01.2020   kl. 14.30;FOR-2020-01-10-13;Ikrafts. av lov 2020:1, endr. i politiloven mv.;https://lovdata.no/dokument/LTI/forskrift/2020-01-10-13;Ikraftsetting av lov 10. januar 2020 nr. 1 om endringer i politiloven mv. (bevæpnet patruljering mellom sårbare objekter mv.);Justis- og beredskapsdepartementet;01.02.2020;LOV-1961-06-09-1, LOV-1995-08-04-53;2020-0036;Norge;LOV-2020-01-10-1;;
10.01.2020   kl. 14.30;FOR-2020-01-09-12;Endr. i klimakvoteforskriften;https://lovdata.no/dokument/LTI/forskrift/2020-01-09-12;Forskrift om endring i forskrift om kvoteplikt og handel med kvoter for utslipp av klimagasser (klimakvoteforskriften);Klima- og miljødepartementet;09.01.2020;FOR-2004-12-23-1851;2020-0032;Norge;LOV-2004-12-17-99-§5, LOV-2004-12-17-99-§7;;
10.01.2020   kl. 14.30;FOR-2020-01-09-11;Endr. i poliklinikkforskriften;https://lovdata.no/dokument/LTI/forskrift/2020-01-09-11;Forskrift om endring i forskrift om godtgjørelse for å yte poliklinisk helsehjelp i spesialisthelsetjenesten (poliklinikkforskriften);Helse- og omsorgsdepartementet;09.01.2020;FOR-2007-12-19-1761;2020-0028;Norge;Stortingets årlige budsjettvedtak;;
